




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
recombinational repair (GO:0000725)	63	0	1.66	-	 < 0.01	4.13E-01	1.00E00
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via homologous recombination (GO:0000724)	61	0	1.60	-	 < 0.01	4.10E-01	1.00E00
sno(s)RNA polyadenylation (GO:0071050)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
telomere maintenance (GO:0000723)	70	0	1.84	-	 < 0.01	2.66E-01	1.00E00
proteoglycan metabolic process (GO:0006029)	57	0	1.50	-	 < 0.01	4.06E-01	1.00E00
regulation of mesodermal cell differentiation (GO:1905770)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via recombination (GO:0000722)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
lipid transport across blood-brain barrier (GO:1990379)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan catabolic process (GO:0006027)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
pyrimidine dimer repair by nucleotide-excision repair (GO:0000720)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
aminoglycan catabolic process (GO:0006026)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	30	0	.79	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton organization (GO:0098974)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
aminoglycan biosynthetic process (GO:0006023)	32	0	.84	-	 < 0.01	1.00E00	1.00E00
aminoglycan metabolic process (GO:0006022)	51	0	1.34	-	 < 0.01	6.42E-01	1.00E00
anterograde dendritic transport of mitochondrion (GO:0098972)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol biosynthetic process (GO:0006021)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
inositol metabolic process (GO:0006020)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent mRNA catabolic process (GO:0071047)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-stranded telomeric DNA binding (GO:1905768)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of double-stranded telomeric DNA binding (GO:1905767)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear histone mRNA catabolic process (GO:0071045)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protection from non-homologous end joining at telomere (GO:1905765)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protection from non-homologous end joining at telomere (GO:1905764)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA damage recognition (GO:0000715)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
antisense RNA transcript catabolic process (GO:0071041)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	19	0	.50	-	 < 0.01	1.00E00	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
vesicle fusion with vacuole (GO:0051469)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic DNA repair synthesis (GO:0000711)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
meiotic mismatch repair (GO:0000710)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
D-ribose metabolic process (GO:0006014)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
anterograde dendritic transport of messenger ribonucleoprotein complex (GO:0098964)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
mannose metabolic process (GO:0006013)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
dendritic transport of messenger ribonucleoprotein complex (GO:0098963)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
galactose metabolic process (GO:0006012)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of cortisol secretion (GO:0051463)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-glucose metabolic process (GO:0006011)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of cortisol secretion (GO:0051462)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dendritic transport of ribonucleoprotein complex (GO:0098961)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of corticotropin secretion (GO:0051461)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein localization to cytoplasmic microtubule (GO:1905755)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic DNA recombinase assembly (GO:0000707)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing (GO:0000706)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of endosome to plasma membrane protein transport (GO:1905751)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of corticotropin secretion (GO:0051459)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
retrograde axonal transport of mitochondrion (GO:0098958)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
stress response to zinc ion (GO:1990359)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
glucose catabolic process (GO:0006007)	16	0	.42	-	 < 0.01	1.00E00	1.00E00
corticotropin secretion (GO:0051458)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anterograde axonal transport of mitochondrion (GO:0098957)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
glucose metabolic process (GO:0006006)	71	0	1.87	-	 < 0.01	2.66E-01	1.00E00
fucose metabolic process (GO:0006004)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta1 activation (GO:1901394)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose 2,6-bisphosphate metabolic process (GO:0006003)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular water homeostasis (GO:0009992)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
intracellular pH elevation (GO:0051454)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
receptor diffusion trapping (GO:0098953)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate metabolic process (GO:0006002)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of transforming growth factor beta1 activation (GO:1901392)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fructose metabolic process (GO:0006000)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
myoblast migration (GO:0051451)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of transforming growth factor beta activation (GO:1901390)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myoblast proliferation (GO:0051450)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of endosome to plasma membrane protein transport (GO:1905749)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
cytoplasmic RNA surveillance (GO:0071026)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of transforming growth factor beta activation (GO:1901389)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of transforming growth factor beta activation (GO:1901388)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
gap junction-mediated intercellular transport (GO:1990349)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of meiotic cell cycle (GO:0051447)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of chorionic trophoblast cell proliferation (GO:1901383)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by trans-synaptic protein complex (GO:0098942)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of chorionic trophoblast cell proliferation (GO:1901382)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of potassium ion transmembrane transport (GO:1901380)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
telomeric 3' overhang formation (GO:0031860)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
dendritic transport of mitochondrion (GO:0098939)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
anterograde dendritic transport (GO:0098937)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
organic heteropentacyclic compound catabolic process (GO:1901377)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
organic heteropentacyclic compound metabolic process (GO:1901376)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dendritic transport (GO:0098935)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
acetate ester transport (GO:1901374)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cytidine deamination (GO:0009972)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
lipid hydroperoxide transport (GO:1901373)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule end (GO:1905725)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
presynaptic signal transduction (GO:0098928)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated transport between endosomal compartments (GO:0098927)	21	0	.55	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by nitric oxide (GO:0098924)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by soluble gas (GO:0098923)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by endocannabinoid (GO:0098921)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling by lipid (GO:0098920)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protection from non-homologous end joining at telomere (GO:0031848)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
protein localization to perinuclear region of cytoplasm (GO:1905719)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
response to phosphatidylethanolamine (GO:1905711)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
microtubule nucleation by microtubule organizing center (GO:0051418)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
retrograde trans-synaptic signaling (GO:0098917)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
proximal/distal pattern formation (GO:0009954)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
dorsal/ventral pattern formation (GO:0009953)	43	0	1.13	-	 < 0.01	6.29E-01	1.00E00
microtubule nucleation by interphase microtubule organizing center (GO:0051415)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to cortisol (GO:0051414)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to insulin-like growth factor stimulus (GO:1990314)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
membrane depolarization during atrial cardiac muscle cell action potential (GO:0098912)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
dorsal/ventral axis specification (GO:0009950)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
response to corticosterone (GO:0051412)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of atrial cardiac muscle cell action potential (GO:0098910)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
detoxification of nitrogen compound (GO:0051410)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of release of cytochrome c from mitochondria (GO:0090199)	30	0	.79	-	 < 0.01	1.00E00	1.00E00
negative regulation of membrane permeability (GO:1905709)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
positive regulation of glomerulus development (GO:0090193)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of glomerulus development (GO:0090192)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of inhibitory synapse assembly (GO:1905704)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of inhibitory synapse assembly (GO:1905702)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
response to nitrosative stress (GO:0051409)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of neuronal action potential (GO:0098908)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
proximal/distal axis specification (GO:0009946)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of SA node cell action potential (GO:0098907)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of AV node cell action potential (GO:0098904)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
response to leptomycin B (GO:1901344)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of membrane repolarization during action potential (GO:0098903)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of membrane depolarization during action potential (GO:0098902)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of store-operated calcium channel activity (GO:1901341)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of store-operated calcium channel activity (GO:1901340)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of pancreatic juice secretion (GO:0090187)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of kidney development (GO:0090184)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of secretion of lysosomal enzymes (GO:0090182)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cholesterol metabolic process (GO:0090181)	23	0	.61	-	 < 0.01	1.00E00	1.00E00
regulation of store-operated calcium channel activity (GO:1901339)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
lactone biosynthetic process (GO:1901336)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in neural tube closure (GO:0090179)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
establishment of planar polarity involved in neural tube closure (GO:0090177)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
microtubule cytoskeleton organization involved in establishment of planar polarity (GO:0090176)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
organelle membrane fusion (GO:0090174)	76	0	2.00	-	 < 0.01	2.68E-01	1.00E00
regulation of Golgi inheritance (GO:0090170)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of odontoblast differentiation (GO:1901329)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
response to cytochalasin B (GO:1901328)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of spindle assembly (GO:0090169)	19	0	.50	-	 < 0.01	1.00E00	1.00E00
Golgi reassembly (GO:0090168)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
Golgi disassembly (GO:0090166)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
asymmetric Golgi ribbon formation (GO:0090164)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
Golgi ribbon formation (GO:0090161)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
Golgi to lysosome transport (GO:0090160)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion involved in gastrulation (GO:0070586)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to mitochondrion (GO:0070585)	61	0	1.60	-	 < 0.01	4.10E-01	1.00E00
mitochondrion morphogenesis (GO:0070584)	23	0	.61	-	 < 0.01	1.00E00	1.00E00
regulation of flagellated sperm motility (GO:1901317)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of sterol regulatory element binding protein cleavage (GO:1901310)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of collateral sprouting of injured axon (GO:0048694)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of collateral sprouting of injured axon (GO:0048693)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of sphingolipid biosynthetic process (GO:0090155)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II (GO:0001193)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of axon extension involved in regeneration (GO:0048692)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of sphingolipid biosynthetic process (GO:0090154)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
maintenance of transcriptional fidelity during transcription elongation (GO:0001192)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of axon extension involved in regeneration (GO:0048691)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of sphingolipid biosynthetic process (GO:0090153)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of axon extension involved in regeneration (GO:0048690)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to mitochondrial membrane involved in mitochondrial fission (GO:0090152)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to mitochondrial membrane (GO:0090151)	19	0	.50	-	 < 0.01	1.00E00	1.00E00
regulation of sterol regulatory element binding protein cleavage (GO:1901308)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cadmium ion transmembrane transport (GO:0070574)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of cargo loading into COPII-coated vesicle (GO:1901303)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of nitric-oxide synthase activity (GO:0050999)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
regulation of cargo loading into COPII-coated vesicle (GO:1901301)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide-mediated programmed cell death (GO:1901300)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid catabolic process (GO:0050995)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of sprouting of injured axon (GO:0048688)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I preinitiation complex assembly (GO:0001188)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of sprouting of injured axon (GO:0048687)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial membrane fission (GO:0090149)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of sprouting of injured axon (GO:0048686)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
membrane fission (GO:0090148)	25	0	.66	-	 < 0.01	1.00E00	1.00E00
regulation of collateral sprouting of intact axon in response to injury (GO:0048683)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sprouting of injured axon (GO:0048682)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial nucleoid organization (GO:0090144)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoid organization (GO:0090143)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial fission (GO:0090141)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial fission (GO:0090140)	29	0	.76	-	 < 0.01	1.00E00	1.00E00
positive regulation of vitamin D receptor signaling pathway (GO:0070564)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of vitamin D receptor signaling pathway (GO:0070562)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
vitamin D receptor signaling pathway (GO:0070561)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
protein secretion by platelet (GO:0070560)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus (GO:0050982)	25	0	.66	-	 < 0.01	1.00E00	1.00E00
response to axon injury (GO:0048678)	25	0	.66	-	 < 0.01	1.00E00	1.00E00
axon extension involved in regeneration (GO:0048677)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of actin cytoskeleton organization by cell-cell adhesion (GO:0090138)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transcriptional start site selection at RNA polymerase II promoter (GO:0001174)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
actin filament branching (GO:0090135)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA-templated transcriptional start site selection (GO:0001173)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of collateral sprouting (GO:0048672)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of collateral sprouting (GO:0048671)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of collateral sprouting (GO:0048670)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus involved in sensory perception of touch (GO:0050976)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
sensory perception of touch (GO:0050975)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus involved in sensory perception (GO:0050974)	20	0	.53	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus involved in equilibrioception (GO:0050973)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
collateral sprouting in absence of injury (GO:0048669)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
neuron fate specification (GO:0048665)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
neuron fate determination (GO:0048664)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of smooth muscle cell proliferation (GO:0048662)	31	0	.82	-	 < 0.01	1.00E00	1.00E00
detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
detection of calcium ion (GO:0005513)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
smooth muscle cell proliferation (GO:0048659)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
detection of light stimulus involved in sensory perception (GO:0050962)	6	0	.16	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus involved in sensory perception (GO:0050961)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus involved in thermoception (GO:0050960)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated cholesterol transport (GO:0090119)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
receptor-mediated endocytosis involved in cholesterol transport (GO:0090118)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
endosome to lysosome transport of low-density lipoprotein particle (GO:0090117)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
C-5 methylation of cytosine (GO:0090116)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
COPII-coated vesicle cargo loading (GO:0090110)	12	0	.32	-	 < 0.01	1.00E00	1.00E00
histone H2A K63-linked ubiquitination (GO:0070535)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
protein K63-linked ubiquitination (GO:0070534)	32	0	.84	-	 < 0.01	1.00E00	1.00E00
equilibrioception (GO:0050957)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
thermoception (GO:0050955)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
sensory perception of temperature stimulus (GO:0050951)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
positive regulation of high-density lipoprotein particle assembly (GO:0090108)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of high-density lipoprotein particle assembly (GO:0090107)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle tissue development (GO:0048643)	11	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle tissue development (GO:0048642)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle tissue development (GO:0048641)	15	0	.39	-	 < 0.01	1.00E00	1.00E00
cochlea morphogenesis (GO:0090103)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
protein kinase C signaling (GO:0070528)	9	0	.24	-	 < 0.01	1.00E00	1.00E00
platelet aggregation (GO:0070527)	10	0	.26	-	 < 0.01	1.00E00	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	8	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of pigment cell differentiation (GO:0050942)	5	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of muscle organ development (GO:0048636)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
glial cell projection elongation (GO:0106091)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of muscle organ development (GO:0048635)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of muscle organ development (GO:0048634)	13	0	.34	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle tissue growth (GO:0048633)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle tissue growth (GO:0048631)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
skeletal muscle tissue growth (GO:0048630)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular carbohydrate catabolic process (GO:0044275)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
sulfur compound catabolic process (GO:0044273)	17	0	.45	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell adhesion involved in sprouting angiogenesis (GO:0106089)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cell adhesion involved in sprouting angiogenesis (GO:0106088)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of pigment cell differentiation (GO:0050932)	7	0	.18	-	 < 0.01	1.00E00	1.00E00
myoblast fate specification (GO:0048626)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
myoblast fate commitment (GO:0048625)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex remodeling (GO:0001120)	2	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular polysaccharide metabolic process (GO:0044264)	51	0	1.34	-	 < 0.01	6.42E-01	1.00E00
cholesterol import (GO:0070508)	3	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	119	0	3.13	-	 < 0.01	7.78E-02	1.00E00
positive regulation of DNA-templated DNA replication initiation (GO:0032298)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
induction of negative chemotaxis (GO:0050929)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
