




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
protein desumoylation (GO:0016926)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
protein sumoylation (GO:0016925)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular alcohol biosynthetic process (GO:0044108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular alcohol metabolic process (GO:0044107)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular amine metabolic process (GO:0044106)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
embryonic axis specification (GO:0000578)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
sequestering of zinc ion (GO:0032119)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to nutrient levels (GO:0032108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to nutrient levels (GO:0032107)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to extracellular stimulus (GO:0032105)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of response to extracellular stimulus (GO:0032104)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to external stimulus (GO:0032103)	143	1	1.20	-	.83	1.00E00	1.00E00
negative regulation of response to external stimulus (GO:0032102)	94	1	.79	+	1.26	5.53E-01	1.00E00
regulation of response to external stimulus (GO:0032101)	284	2	2.39	-	.84	1.00E00	1.00E00
cell dedifferentiation (GO:0043697)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dedifferentiation (GO:0043696)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
reverse cholesterol transport (GO:0043691)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein receptor activity (GO:1905599)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of low-density lipoprotein receptor activity (GO:1905598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
centrosome separation (GO:0051299)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
centrosome duplication (GO:0051298)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
post-translational protein modification (GO:0043687)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
global gene silencing by mRNA cleavage (GO:0098795)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
co-translational protein modification (GO:0043686)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of meiotic spindle localization (GO:0051295)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of spindle orientation (GO:0051294)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
establishment of spindle localization (GO:0051293)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
xenophagy (GO:0098792)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear pore complex assembly (GO:0051292)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein heterooligomerization (GO:0051291)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
protein heterotetramerization (GO:0051290)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
induction of programmed cell death (GO:0012502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
programmed cell death (GO:0012501)	351	4	2.96	+	1.35	5.36E-01	1.00E00
pre-mRNA cleavage required for polyadenylation (GO:0098789)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein particle clearance (GO:1905581)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein homotetramerization (GO:0051289)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERBB3 signaling pathway (GO:1905580)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage involved in mRNA processing (GO:0098787)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of sequestering of calcium ion (GO:0051284)	7	1	.06	+	16.97	6.49E-02	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	12	1	.10	+	9.90	1.03E-01	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	43	2	.36	+	5.52	5.37E-02	1.00E00
ncRNA transcription (GO:0098781)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
response to mitochondrial depolarisation (GO:0098780)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
exosomal secretion (GO:1990182)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of ERBB3 signaling pathway (GO:1905578)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside GM1 transport to membrane (GO:1905572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitophagy in response to mitochondrial depolarization (GO:0098779)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	34	2	.29	+	6.99	3.58E-02	1.00E00
chromosome organization (GO:0051276)	105	0	.88	-	 < 0.01	1.00E00	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	33	1	.28	+	3.60	2.49E-01	1.00E00
skin epidermis development (GO:0098773)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
inorganic ion homeostasis (GO:0098771)	171	2	1.44	+	1.39	6.55E-01	1.00E00
G protein-coupled receptor catabolic process (GO:1990172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular endothelial cell proliferation (GO:1905564)	7	1	.06	+	16.97	6.49E-02	1.00E00
negative regulation of vascular endothelial cell proliferation (GO:1905563)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vascular endothelial cell proliferation (GO:1905562)	8	1	.07	+	14.85	7.27E-02	1.00E00
stress response to copper ion (GO:1990169)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein K33-linked deubiquitination (GO:1990168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein K27-linked deubiquitination (GO:1990167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiosis I cell cycle phase (GO:0098764)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to site of double-strand break (GO:1990166)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic cell cycle phase (GO:0098763)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic cell cycle phase (GO:0098762)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	7	1	.06	+	16.97	6.49E-02	1.00E00
protein tetramerization (GO:0051262)	29	0	.24	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-7 (GO:0098761)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
engulfment of apoptotic cell (GO:0043652)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
protein depolymerization (GO:0051261)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
response to interleukin-7 (GO:0098760)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
linoleic acid metabolic process (GO:0043651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein homooligomerization (GO:0051260)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid biosynthetic process (GO:0043650)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood vessel branching (GO:1905555)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of blood vessel branching (GO:1905553)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
specification of symmetry (GO:0009799)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to endoplasmic reticulum (GO:1905552)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
axis specification (GO:0009798)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-8 (GO:0098759)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to endoplasmic reticulum (GO:1905551)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein complex oligomerization (GO:0051259)	68	0	.57	-	 < 0.01	1.00E00	1.00E00
response to interleukin-8 (GO:0098758)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to endoplasmic reticulum (GO:1905550)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid catabolic process (GO:0043649)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein polymerization (GO:0051258)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle, embryonic (GO:0009794)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
inositol phosphate metabolic process (GO:0043647)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
detoxification (GO:0098754)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
embryo development ending in birth or egg hatching (GO:0009792)	263	1	2.21	-	.45	7.24E-01	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	658	1	5.54	-	.18	3.57E-02	1.00E00
negative regulation of formation of translation preinitiation complex (GO:1901194)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-embryonic development (GO:0009791)	47	2	.40	+	5.05	6.25E-02	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	466	1	3.92	-	.25	1.76E-01	1.00E00
regulation of formation of translation preinitiation complex (GO:1901193)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryo development (GO:0009790)	364	3	3.06	-	.98	1.00E00	1.00E00
regulation of RNA metabolic process (GO:0051252)	1146	5	9.65	-	.52	9.56E-02	1.00E00
bone cell development (GO:0098751)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of lymphocyte activation (GO:0051251)	106	0	.89	-	 < 0.01	1.00E00	1.00E00
negative regulation of lymphocyte activation (GO:0051250)	51	0	.43	-	 < 0.01	1.00E00	1.00E00
cellular response to nutrient (GO:0031670)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cerebellar neuron development (GO:0098749)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of lymphocyte activation (GO:0051249)	162	0	1.36	-	 < 0.01	6.45E-01	1.00E00
positive regulation of ephrin receptor signaling pathway (GO:1901189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein metabolic process (GO:0051248)	381	2	3.21	-	.62	7.68E-01	1.00E00
positive regulation of protein metabolic process (GO:0051247)	545	3	4.59	-	.65	6.18E-01	1.00E00
fast, calcium ion-dependent exocytosis of neurotransmitter (GO:0098746)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ephrin receptor signaling pathway (GO:1901187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein metabolic process (GO:0051246)	914	6	7.70	-	.78	6.86E-01	1.00E00
positive regulation of ERBB signaling pathway (GO:1901186)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERBB signaling pathway (GO:1901185)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
cell aggregation (GO:0098743)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
maintenance of translational fidelity (GO:1990145)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to hypoxia (GO:1990144)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent RNA catabolic process (GO:0043633)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
modification-dependent macromolecule catabolic process (GO:0043632)	277	2	2.33	-	.86	1.00E00	1.00E00
negative regulation of multicellular organismal process (GO:0051241)	325	2	2.74	-	.73	1.00E00	1.00E00
RNA polyadenylation (GO:0043631)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of multicellular organismal process (GO:0051240)	511	7	4.30	+	1.63	1.94E-01	1.00E00
ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process (GO:0043630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to nutrient levels (GO:0031669)	78	0	.66	-	 < 0.01	1.00E00	1.00E00
cellular response to extracellular stimulus (GO:0031668)	87	0	.73	-	 < 0.01	1.00E00	1.00E00
response to nutrient levels (GO:0031667)	113	0	.95	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905537)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leucine import across plasma membrane (GO:1905533)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leucine import across plasma membrane (GO:1905532)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
import across plasma membrane (GO:0098739)	38	0	.32	-	 < 0.01	1.00E00	1.00E00
regulation of multicellular organismal process (GO:0051239)	883	12	7.43	+	1.61	9.93E-02	1.00E00
ncRNA polyadenylation (GO:0043629)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
sequestering of metal ion (GO:0051238)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein insertion into plasma membrane (GO:0098737)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
small regulatory ncRNA 3'-end processing (GO:0043628)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
neuron projection extension (GO:1990138)	27	1	.23	+	4.40	2.10E-01	1.00E00
response to estrogen (GO:0043627)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
establishment of RNA localization (GO:0051236)	59	0	.50	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction (GO:0098735)	3	1	.03	+	39.59	3.30E-02	1.00E00
maintenance of location (GO:0051235)	59	0	.50	-	 < 0.01	1.00E00	1.00E00
macromolecule depalmitoylation (GO:0098734)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
establishment of localization (GO:0051234)	1265	10	10.65	-	.94	1.00E00	1.00E00
macromolecule deacylation (GO:0098732)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
cortical microtubule organization (GO:0043622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle disassembly (GO:0051230)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription in response to stress (GO:0043620)	24	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of heat generation (GO:0031652)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of heat generation (GO:0031650)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of Golgi lumen acidification (GO:1905528)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi lumen acidification (GO:1905526)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein autoubiquitination (GO:1905524)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage migration (GO:1905523)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage migration (GO:1905522)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage migration (GO:1905521)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
germline stem cell asymmetric division (GO:0098728)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of presynaptic active zone assembly (GO:1905520)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
mitotic spindle disassembly (GO:0051228)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of cell number (GO:0098727)	58	1	.49	+	2.05	3.92E-01	1.00E00
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
neural crest cell migration involved in autonomic nervous system development (GO:1901166)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
keratinocyte proliferation (GO:0043616)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
spindle assembly (GO:0051225)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
positive regulation of trophoblast cell migration (GO:1901165)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
astrocyte cell migration (GO:0043615)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein transport (GO:0051224)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
negative regulation of trophoblast cell migration (GO:1901164)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein transport (GO:0051223)	200	0	1.68	-	 < 0.01	4.13E-01	1.00E00
asymmetric stem cell division (GO:0098722)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of trophoblast cell migration (GO:1901163)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein transport (GO:0051222)	124	0	1.04	-	 < 0.01	6.26E-01	1.00E00
cytoplasmic sequestering of protein (GO:0051220)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
primary amino compound metabolic process (GO:1901160)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of carbohydrate utilization (GO:0043610)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex assembly (GO:1990120)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heat generation (GO:0031649)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein destabilization (GO:0031648)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of protein stability (GO:0031647)	139	1	1.17	-	.85	1.00E00	1.00E00
positive regulation of nervous system process (GO:0031646)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of nervous system process (GO:0031645)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of nervous system process (GO:0031644)	56	1	.47	+	2.12	3.82E-01	1.00E00
positive regulation of myelination (GO:0031643)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of myelination (GO:0031642)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of myelination (GO:0031641)	25	1	.21	+	4.75	1.96E-01	1.00E00
killing of cells of another organism (GO:0031640)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of presynaptic active zone assembly (GO:1905518)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macrophage migration (GO:1905517)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of fertilization (GO:1905516)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
non-motile cilium assembly (GO:1905515)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
sodium ion import across plasma membrane (GO:0098719)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
hexose mediated signaling (GO:0009757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
xylulose 5-phosphate biosynthetic process (GO:1901159)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate mediated signaling (GO:0009756)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hormone-mediated signaling pathway (GO:0009755)	40	0	.34	-	 < 0.01	1.00E00	1.00E00
cartilage development (GO:0051216)	47	0	.40	-	 < 0.01	1.00E00	1.00E00
ribosome-associated ubiquitin-dependent protein catabolic process (GO:1990116)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular amide catabolic process (GO:0043605)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leucine import across plasma membrane (GO:0098713)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amide biosynthetic process (GO:0043604)	201	1	1.69	-	.59	1.00E00	1.00E00
L-glutamate import across plasma membrane (GO:0098712)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to fructose (GO:0009750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular amide metabolic process (GO:0043603)	266	1	2.24	-	.45	7.25E-01	1.00E00
iron ion import across plasma membrane (GO:0098711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrate catabolic process (GO:0043602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zymogen activation (GO:0031638)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule organizing center (GO:1905508)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of motile cilium assembly (GO:1905505)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of motile cilium assembly (GO:1905503)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to glucose (GO:0009749)	40	0	.34	-	 < 0.01	1.00E00	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	12	1	.10	+	9.90	1.03E-01	1.00E00
response to hexose (GO:0009746)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
sequestering of calcium ion (GO:0051208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gene expression involved in extracellular matrix organization (GO:1901148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein linear deubiquitination (GO:1990108)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to sucrose (GO:0009744)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
copper ion import across plasma membrane (GO:0098705)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to carbohydrate (GO:0009743)	49	0	.41	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane (GO:0051205)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
carbohydrate import across plasma membrane (GO:0098704)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial membrane (GO:0051204)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium ion import across plasma membrane (GO:0098703)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
insulin metabolic process (GO:1901142)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
neurotransmitter loading into synaptic vesicle (GO:0098700)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
telomeric loop formation (GO:0031627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor internalization (GO:0031623)	27	1	.23	+	4.40	2.10E-01	1.00E00
positive regulation of fever generation (GO:0031622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of fever generation (GO:0031620)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	159	1	1.34	-	.75	1.00E00	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	257	1	2.16	-	.46	7.23E-01	1.00E00
detection of endogenous stimulus (GO:0009726)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hormone (GO:0009725)	203	1	1.71	-	.59	1.00E00	1.00E00
detection of lipoteichoic acid (GO:0070392)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to lipoteichoic acid (GO:0070391)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
response to endogenous stimulus (GO:0009719)	393	7	3.31	+	2.12	4.51E-02	1.00E00
mitotic nuclear membrane organization (GO:0101024)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA cytosine deamination (GO:0070383)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound biosynthetic process (GO:0009713)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
catechol-containing compound metabolic process (GO:0009712)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle membrane organization (GO:0048499)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
maintenance of animal organ identity (GO:0048496)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anterograde synaptic vesicle transport (GO:0048490)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of ERK5 cascade (GO:0070376)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ERK5 cascade (GO:0070375)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	61	1	.51	+	1.95	4.07E-01	1.00E00
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	25	2	.21	+	9.50	2.09E-02	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	86	3	.72	+	4.14	3.74E-02	1.00E00
ERK1 and ERK2 cascade (GO:0070371)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
activated T cell proliferation (GO:0050798)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of insulin secretion (GO:0050796)	54	0	.45	-	 < 0.01	1.00E00	1.00E00
regulation of behavior (GO:0050795)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of cellular process (GO:0050794)	3091	29	26.02	+	1.11	4.06E-01	1.00E00
regulation of developmental process (GO:0050793)	845	9	7.11	+	1.27	4.10E-01	1.00E00
synaptic vesicle transport (GO:0048489)	23	1	.19	+	5.16	1.83E-01	1.00E00
regulation of viral process (GO:0050792)	64	0	.54	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle endocytosis (GO:0048488)	30	1	.25	+	3.96	2.30E-01	1.00E00
regulation of catalytic activity (GO:0050790)	627	2	5.28	-	.38	1.59E-01	1.00E00
parasympathetic nervous system development (GO:0048486)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sympathetic nervous system development (GO:0048485)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
enteric nervous system development (GO:0048484)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autonomic nervous system development (GO:0048483)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
hepatocyte differentiation (GO:0070365)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of biological process (GO:0050789)	3223	30	27.14	+	1.11	3.97E-01	1.00E00
replication fork protection (GO:0048478)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oogenesis (GO:0048477)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
actin polymerization-dependent cell motility (GO:0070358)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of white fat cell proliferation (GO:0070350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA destabilization (GO:0050779)	41	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune response (GO:0050778)	162	2	1.36	+	1.47	4.00E-01	1.00E00
negative regulation of immune response (GO:0050777)	43	0	.36	-	 < 0.01	1.00E00	1.00E00
regulation of immune response (GO:0050776)	275	3	2.32	+	1.30	5.03E-01	1.00E00
